QQ,qq,8.0
iexplore,iexplore,13.0
AliIM,aliim,
rundll32,rundll32,
WINWORD,winword,6.0
Thunder,thunder,7.0
EXCEL,excel,6.0
sndvol32,sndvol32,
SoftManagerLite,softmanagerlite,
taskmgr,taskmgr,
SohuNews,sohunews,5.0
XmpTipWnd,xmptipwnd,
dwm,dwm,
QQGame,qqgame,2.0
sogouexplorer,sogouexplorer,13.0
QQMusic,qqmusic,3.0
WinRAR,winrar,
ThunderMinisite,thunderminisite,7.0
Fetion,fetion,
360chrome,360chrome,13.0
notepad,notepad,6.0
XMP,xmp,
SoftManager,softmanager,
QvodPlayer,qvodplayer,3.0
SndVol,sndvol,
ThunderBhoStat,thunderbhostat,7.0
DSMain,dsmain,
QQPenguin,qqpenguin,
QPlus,qplus,
logon,logon,
PPStream,ppstream,
SoftupNotify,softupnotify,
stormpop,stormpop,
StormPlayer,stormplayer,3.0
PPLive,pplive,1.0
TdxW,tdxw,
BaofengPlatform,baofengplatform,1.0
safeboxTray,safeboxtray,
iResearchiClick,iresearchiclick,
Maxthon,maxthon,
ikucmc,ikucmc,1.0
YY,yy,
QvodDaily,qvoddaily,1.0
chrome,chrome,13.0
calc,calc,
KuGou,kugou,1.0
QQPetAgent,qqpetagent,2.0
kxetray,kxetray,
WerFault,werfault,
explorer.exe,explorer,13.0
hlddzSDK,hlddzsdk,
WDSafeDown,wdsafedown,
ICBCEBankAssist,icbcebankassist,10.0
DYT,dyt,
KanKan,kankan,
dllhost,dllhost,
CCC,ccc,
Funshion,funshion,
POWERPNT,powerpnt,6.0
KwMusic,kwmusic,3.0
firefox,firefox,
msnmsgr,msnmsgr,8.0
jisibar,jisibar,6.0
AcroRd32,acrord32,
91问问桌面工具,91问问桌面工具,
TTPlayer,ttplayer,3.0
wps,wps,6.0
Client,client,
www.baidu.com,www.baidu.com,
QQBrowser,qqbrowser,
auclt,auclt,
Au_,au_,
xntalk,xntalk,
HaoZip,haozip,7.0
cmd,cmd,
ACDSee5,acdsee5,
QQLogin,qqlogin,
ssmypics,ssmypics,
ComputerZ_CN,computerz_cn,
VolunteerPro,volunteerpro,
NetSurvey,netsurvey,
QPlusApp,qplusapp,
KSafeTray,ksafetray,
zhidao.baidu.com,zhidao.baidu.com,
CFSelWorld,cfselworld,
et,et,
Photoshop,photoshop,6.0
SNSWebBrowser,snswebbrowser,
RegGuide,regguide,
spider,spider,2.0
user.qzone.qq.com,user.qzone.qq.com,
about:blank,about:blank,
www.taobao.com,www.taobao.com,11.0
YodaoDict,yodaodict,6.0
QQLive,qqlive,
SeDown,sedown,
XmpTipWnd.1.0.0.10.exe,xmptipwnd.1.0.0.10,
QQPCTray,qqpctray,
item.taobao.com,item.taobao.com,11.0
QQProtectUpd,qqprotectupd,
wiaacmgr,wiaacmgr,
FlashMail,flashmail,6.0
QQDownload,qqdownload,
LolClient,lolclient,
ptlogin2.qq.com,ptlogin2.qq.com,
XBrowser,xbrowser,
QQExternal,qqexternal,
wmplayer,wmplayer,3.0
BaiduPlayer,baiduplayer,3.0
baike.baidu.com,baike.baidu.com,
hexin,hexin,
iTunes,itunes,3.0
acad,acad,
v.youku.com,v.youku.com,1.0
detail.tmall.com,detail.tmall.com,
Foxit Reader,foxit reader,6.0
wenku.baidu.com,wenku.baidu.com,
rasautou,rasautou,
Foxmail,foxmail,6.0
TKLobby,tklobby,
RsTray,rstray,
tieba.baidu.com,tieba.baidu.com,9.0
msiexec,msc,
KSafe,ksafe,
s.taobao.com,s.taobao.com,11.0
QQPCMgr,qqpcmgr,
EQ,eq,
main,main,
TTraveler,ttraveler,
TKMCEx,tkmcex,
h.cnnicresearch.cn,h.cnnicresearch.cn,
QQBrowserExtHost,qqbrowserexthost,
login.taobao.com,login.taobao.com,11.0
wenwen.soso.com,wenwen.soso.com,
news.qq.com,news.qq.com,5.0
t.qq.com,t.qq.com,
Weibo,weibo,
CBox,cbox,
sidebar,sidebar,
scrnsave,scrnsave,
QQPlayer,qqplayer,3.0
OUTLOOK,outlook,6.0
YoukuMediaCenter,youkumediacenter,1.0
racer,racer,
ddzrpg,ddzrpg,2.0
trade.taobao.com,trade.taobao.com,11.0
xiadan,xiadan,
msimn,msimn,
blog.sina.com.cn,blog.sina.com.cn,
image.baidu.com,image.baidu.com,
www.sogou.com,www.sogou.com,
WindowsXP-KB2659262-x86-CHS,windowsxp-kb2659262-x86-chs,
www.tudou.com,www.tudou.com,
QTalk,qtalk,
auth.alipay.com,auth.alipay.com,10.0
mspaint,mspaint,
mail.qq.com,mail.qq.com,6.0
video.baidu.com,video.baidu.com,1.0
WindowsXP-KB2660649-x86-CHS,windowsxp-kb2660649-x86-chs,
s.cnnicresearch.cn,s.cnnicresearch.cn,
_iu14D2N,_iu14d2n,
